#ID;#Singer;#Song;#Year;#Language
100287;Bonifatius;Wann traegt der Wind mich fort;2004;Deutsch
100288;Borg, Andy;Adios Amor;1992;Deutsch
100289;Borg, Andy;Arrivederci Claire;1982;Deutsch
100290;Borg, Andy;Die beruehmten drei Worte;1982;Deutsch
100291;Borg, Andy;Die fischer von san juan;1982;Deutsch
100292;Borg, Andy;Weihnachten steht vor der Tuer;1980;Deutsch
100293;Bosse;Der letzte Tanz;2020;Deutsch
100294;Bosse;Schoenste Zeit;2013;Deutsch
100295;Bourani, Andreas;Auf anderen wegen;2014;Deutsch
100296;Bourani, Andreas;Auf uns;2014;Deutsch
100297;Bourani, Andreas;Auf uns (akustik version);2014;Deutsch
100298;Bourani, Andreas;Delirium;2014;Deutsch
100299;Bourani, Andreas;Eisberg;2011;Deutsch
100300;Bourani, Andreas;Hey;2014;Deutsch
100301;Bourani, Andreas;Nur in meinem kopf;2011;Deutsch
100302;Bourani, Andreas;Ultraleicht;2014;Deutsch
100303;Bourani, Andreas;Wunder;2011;Deutsch
100304;Brandenstein, Joel;Keine ist wie du;2014;Deutsch
100305;Breck, Freddy;Rote rosen;1973;Deutsch
100306;Brenner;Dann geh doch;2021;Deutsch
100307;Brenner;Ich liebe das Leben (Schlagerbooom 2021);2021;Deutsch
100308;Brings;Hallelujah;2010;Deutsch
100309;Brings;Jeck Yeah!;2016;Deutsch
100310;Brings;Koelsche Jung;2014;Deutsch
100311;Brings;Koelsche Jung (party edit);2003;Deutsch
100312;Brings;Mama;1995;Deutsch
100313;Brings;Man muesste noch mal 20 sein;2005;Deutsch
100314;Brings;Mir singe Alaaf!;2020;Deutsch
100315;Brings;Nur nicht aus Liebe weinen;2007;Deutsch
100316;Brings;Polka, Polka, Polka;2014;Deutsch
100317;Brings;Su lang mer noch am Laeaeve sin;2005;Deutsch
100318;Brings;Suenderlein;2019;Deutsch
100319;Brings;Superjeilezick;2000;Deutsch
100320;Brink, Bernhard;Aber dich gibts nur einmal fuer mich;2021;Deutsch
100321;Brink, Bernhard;Du gehst fort;1992;Deutsch
100322;Brink, Bernhard;Du hast mich einmal zu oft angesehen;2019;Deutsch
100323;Brink, Bernhard;Frei und abgebrannt;1979;Deutsch
100324;Brink, Bernhard;Heute habe ich an dich gedacht;1997;Deutsch
100325;Brink, Bernhard;Von hier bis zur Unendlichkeit;2015;Deutsch
100326;Broilers;Ist da jemand?;2013;Deutsch
100327;Broilers;Tanzt Du noch einmal mit mir?;2011;Deutsch
100328;Bruce Low;Die Legende von Babylon;1978;Deutsch
100329;Bruce Low;Noah;1971;Deutsch
100330;Brueckner, Mia Julia;Der Zug hat keine Bremse (Mallorcastyle);2022;Deutsch
100331;Brueckner, Mia Julia;Dorfkind (Mallorcastyle Mix);2017;Deutsch
100332;Brueckner, Mia Julia;Endlich wieder Malle;2017;Deutsch
100333;Brueckner, Mia Julia;Mallorca (Da bin ich daheim);2016;Deutsch
100334;Brueckner, Mia Julia;Oh Baby;2013;Deutsch
100335;Brunner und Brunner;Bis in alle ewigkeit;1993;Deutsch
100336;Brunner und Brunner;Es haut mich um, wenn du lachst;1997;Deutsch
100337;Brunner und Brunner;Schenk mir diese eine Nacht;2000;Deutsch
100338;Brunner und Brunner;Wie der Wind wehst du mir ins Gesicht;1996;Deutsch
100339;Brunner und Brunner;Wir sind alle ueber 40 (Mallorca mix);2001;Deutsch
100340;Brunner, Charly;Nachtschwaermer;2018;Deutsch
100341;Brunner, Charly;Wahre Liebe;2018;Deutsch
100342;Buddy Vs DJ The Wave;Ab In Den Sueden;2003;Deutsch
100343;Bueffel, Lorenz;Beate, die Harte;2018;Deutsch
100344;Bueffel, Lorenz;Johnny Daepp;2016;Deutsch
100345;Cabaret;Mein Herr;1972;Deutsch
100346;Capital Bra;110;2019;Deutsch
